event_id,state_code,latitude,longitude,event_date,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,admin_division_name,location_description
4411,7,27.339,88.6065,2012-06-14 04:00:00,landslide,downpour,medium,0,0,Sikkim,"Tathangchen, Gangtok, Sikkim "
4408,4,25.5498,92.0757,2012-06-13 00:00:00,landslide,downpour,medium,0,0,MeghÄlaya,"NH44, Kuliang"
4407,2,25.0951,92.3567,2012-06-13 00:00:00,landslide,downpour,medium,0,0,Assam,"NH44, Malidhor area,  Baleswar"
4403,3,24.8142,93.5444,2012-06-10 00:00:00,landslide,downpour,very_large,0,0,Manipur,"Imphal-Jiribam section of NH-37 , Manipur"
4394,7,27.1748,88.6458,2012-06-07 04:30:00,landslide,rain,large,7,0,Sikkim,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)"
4393,7,27.7565,88.632,2012-06-07 00:00:00,landslide,downpour,large,7,0,,"Nathang Maong, Sikkim"
4385,7,27.7167,88.5577,2012-06-03 00:00:00,landslide,downpour,medium,0,0,,"lachen, Sikkim"
4382,2,25.1175,92.8573,2012-06-03 00:00:00,landslide,downpour,medium,0,0,Assam,"Â between Harangajao and Mailongdisa, Assa,"
4383,2,25.3056,93.1265,2012-06-03 00:00:00,landslide,downpour,medium,0,0,Assam,"between Maibang and Daotohaja, Assam"
4384,2,25.1775,93.0123,2012-06-03 00:00:00,landslide,downpour,medium,0,0,Assam,"between Haflong and  Bagetar, Assam"
4377,2,26.1475,91.7356,2012-06-02 00:00:00,landslide,downpour,large,0,0,Assam,"Guwahati, Assam"
4378,1,28.8254,96.1517,2012-06-02 00:00:00,landslide,downpour,medium,0,0,Arunachal Pradesh,"Arunachal Pradesh, Dibang,"
4313,1,28.4659,95.86,2012-04-08 00:00:00,landslide,downpour,medium,0,0,ArunÄchal Pradesh,"Endulin Nallah, Mayodia, 17-camp, 83-camp"
4241,3,25.1604,93.6795,2012-03-04 00:00:00,landslide,unknown,medium,0,0,Manipur,Tamei constituency in Tamenlong district
3997,7,27.5161,88.5575,2011-09-30 00:00:00,landslide,unknown,medium,0,0,,
6782,2,26.8545,88.3372,2011-09-28 00:00:00,landslide,rain,medium,0,0,West Bengal,NH55 at Tindharia
3986,7,27.0605,88.255,2011-09-25 00:00:00,landslide,downpour,medium,0,0,Bengal,"Singamari, Darhelling, West Bengal"
3983,2,26.1548,91.7351,2011-09-23 00:00:00,landslide,downpour,large,4,0,Assam,"Maighuli, Guwahati, Meghalaya"
3965,2,24.808,93.117,2011-09-06 08:00:00,landslide,rain,medium,3,0,Assam,NH 37 at Awang KhulÂ 
3944,7,27.7344,88.633,2011-08-25 00:00:00,landslide,downpour,medium,2,0,,"Hee-Khola, Sikkim"
3943,7,27.13862165,88.22551799,2011-08-23 00:00:00,landslide,downpour,medium,5,0,,"Samathang, Sikkim"
3932,3,25.83,94.13,2011-08-18 00:00:00,landslide,monsoon,medium,0,0,NÄgÄland, Botsa  and Chiechama
3927,4,25.5144,90.2167,2011-08-16 08:00:00,landslide,downpour,medium,6,0,MeghÄlaya,"Garo Hills, Tura"
3925,1,27.4888,93.0153,2011-08-15 00:00:00,landslide,downpour,medium,0,0,ArunÄchal Pradesh,"East Kameng, Arunachal Pradesh"
3916,2,25.7713,93.8067,2011-08-13 08:00:00,mudslide,downpour,medium,0,0,Assam,"Chumukedima, Dimapur"
3912,1,27.44,92.2833,2011-08-12 00:00:00,landslide,rain,medium,0,0,ArunÄchal Pradesh,East Kameng district in Arunachal Pradesh bordering China
3881,1,27.1034,93.6885,2011-08-05 00:00:00,landslide,downpour,medium,0,0,ArunÄchal Pradesh,Itanagar
3860,3,25.4192,94.108,2011-07-29 00:00:00,landslide,rain,medium,0,0,NÄgÄland,"Maram, Manipur"
3840,3,24.6869,93.9157,2011-07-25 00:00:00,landslide,downpour,medium,0,0,Manipur,Manipur
3837,2,26.5836,93.0038,2011-07-24 12:30:00,landslide,downpour,medium,0,0,Assam,NH 37
3830,3,24.3527,94.3429,2011-07-22 00:00:00,landslide,downpour,small,0,0,Manipur,Manipur
3831,3,24.7992,93.948,2011-07-22 00:00:00,landslide,downpour,medium,0,0,Manipur,Heibok Hills
3813,7,27.1141,88.4658,2011-07-20 00:00:00,landslide,rain,small,0,0,Bengal,National Highway 31A in West Bengal's Darjeeling district
3806,1,27.1032,93.6884,2011-07-19 00:00:00,landslide,downpour,medium,3,0,ArunÄchal Pradesh,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)"
3805,7,27.05374234,88.42572376,2011-07-19 00:00:00,landslide,rain,medium,0,0,Sikkim,200 meters from Teesta Bridge towards Siliguri
